movie_title,movie_id,color,director_id,num_critic_for_reviews,duration,gross,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio
National Treasure,368891,Color,67,193.0,131,173005002.0,255447,0,"['declaration of independence', 'secret society', 'treasure', 'treasure hunt', 'treasure hunter']",http://www.imdb.com/title/tt0368891/?ref_=fn_tt_tt_1,692.0,English,USA,PG,100000000.0,2004,6.9,2.35
Eragon,449010, Black and White,166,170.0,104,75030163.0,108076,0,"['dragon', 'dragon rider', 'fictional war', 'sword and fantasy', 'teenage hero']",http://www.imdb.com/title/tt0449010/?ref_=fn_tt_tt_1,1690.0,English,USA,PG,100000000.0,2006,5.1,2.35
Where the Wild Things Are,386117,Color,167,333.0,101,77222184.0,87677,0,"[""based on children's book"", 'creature', 'igloo', 'imagination', 'king']",http://www.imdb.com/title/tt0386117/?ref_=fn_tt_tt_1,388.0,English,Germany,PG,100000000.0,2009,6.8,2.35
Epic,848537,Color,168,203.0,102,107515297.0,85833,2,"['father daughter relationship', 'forest', 'miniature person', 'shrinking', 'sword and fantasy']",http://www.imdb.com/title/tt0848537/?ref_=fn_tt_tt_1,113.0,English,USA,PG,100000000.0,2013,6.7,2.35
End of Days,146675,Color,169,174.0,121,66862068.0,89509,0,"['atheist', 'ex cop', 'female masturbation', 'female nudity', 'lucifer']",http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,524.0,English,USA,R,83000000.0,1999,5.7,2.35
Blood Diamond,450259,Color,98,166.0,143,57366262.0,400292,0,"['diamond', 'elephant', 'fisherman', 'rebel', 'sierra leone']",http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1,657.0,English,Germany,R,100000000.0,2006,8.0,2.35
The Wolf of Wall Street,993846,Color,46,606.0,240,116866727.0,780588,3,"['based on true story', 'fellatio', 'female rear nudity', 'sex in an airplane', 'stockbroker']",http://www.imdb.com/title/tt0993846/?ref_=fn_tt_tt_1,1138.0,English,USA,R,100000000.0,2013,8.2,2.35
Batman Forever,112462,Color,128,144.0,121,184031112.0,190786,4,"['love', 'necktie', 'partner', 'rock music', 'tuxedo']",http://www.imdb.com/title/tt0112462/?ref_=fn_tt_tt_1,539.0,English,USA,PG-13,100000000.0,1995,5.4,1.85
Starship Troopers,120201,Color,170,192.0,129,54700065.0,221521,0,"['alien', 'federation', 'future', 'military', 'planet']",http://www.imdb.com/title/tt0120201/?ref_=fn_tt_tt_1,1049.0,English,USA,R,105000000.0,1997,7.2,1.85
Cloud Atlas,1371111,Color,171,511.0,172,27098580.0,284825,5,"['composer', 'future', 'letter', 'nonlinear timeline', 'nursing home']",http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1,828.0,English,Germany,R,102000000.0,2012,7.5,2.35
Legend of the Guardians: The Owls of Ga'Hoole,1219342,Color,10,188.0,101,55673333.0,65785,1,"['barn owl', 'escape', 'owl', 'ruler', 'soldier']",http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1,160.0,English,USA,PG,80000000.0,2010,7.0,2.35
Catwoman,327554,Color,172,212.0,87,40198710.0,87451,0,"['based on cult comic book', 'bechdel test passed', 'cat', 'detective', 'radical transformation']",http://www.imdb.com/title/tt0327554/?ref_=fn_tt_tt_1,660.0,English,USA,PG-13,100000000.0,2004,3.3,2.35
Treasure Planet,133240,Color,154,127.0,95,38120554.0,71527,0,"['alien', 'cyborg', 'pirate', 'planet', 'treasure']",http://www.imdb.com/title/tt0133240/?ref_=fn_tt_tt_1,217.0,English,USA,PG,140000000.0,2002,7.1,1.5
Land of the Lost,457400,Color,173,167.0,102,49392095.0,52029,1,"['human versus dinosaur', 'lizard', 'primate', 'time travel', 'tyrannosaurus rex']",http://www.imdb.com/title/tt0457400/?ref_=fn_tt_tt_1,224.0,English,USA,PG-13,100000000.0,2009,5.4,1.85
The Expendables 3,2333784,Color,174,320.0,131,39292022.0,127258,15,"['battle', 'fight', 'mission', 'pg 13 sequel to r rated franchise', 'rescue']",http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1,351.0,English,USA,PG-13,90000000.0,2014,6.1,2.35
Son of the Mask,362165,Color,175,78.0,94,17010646.0,40751,0,"['baby', 'cartoon on tv', 'cartoonist', 'dog', 'mask']",http://www.imdb.com/title/tt0362165/?ref_=fn_tt_tt_1,239.0,English,USA,PG,84000000.0,2005,2.2,1.85
In the Heart of the Sea,1390411,Color,81,289.0,122,24985612.0,71782,0,"['emaciation', 'ship', 'starvation', 'vomiting', 'whale']",http://www.imdb.com/title/tt1390411/?ref_=fn_tt_tt_1,161.0,English,USA,PG-13,100000000.0,2015,7.0,1.85
The Adventures of Pluto Nash,180052,Color,176,66.0,95,4411102.0,20295,1,"['casino', 'future', 'laser gun', 'moon', 'nightclub']",http://www.imdb.com/title/tt0180052/?ref_=fn_tt_tt_1,164.0,English,USA,PG-13,100000000.0,2002,3.8,1.85
Green Zone,947810,Color,110,266.0,115,35024475.0,110364,1,"['cia', 'iraq', 'iraqi', 'political military conspiracy', 'weapon of mass destruction']",http://www.imdb.com/title/tt0947810/?ref_=fn_tt_tt_1,261.0,English,France,R,100000000.0,2010,6.9,2.35
The Peanuts Movie,2452042,Color,177,208.0,88,130174897.0,27918,0,"['dog', 'girl', 'imagination', 'peanuts', 'red hair']",http://www.imdb.com/title/tt2452042/?ref_=fn_tt_tt_1,155.0,English,USA,G,99000000.0,2015,7.2,1.85
The Spanish Prisoner,120176,Color,178,97.0,110,10200000.0,18697,0,"['brother sister relationship', 'extradition', 'fbi', 'japanese tourist', 'secret']",http://www.imdb.com/title/tt0120176/?ref_=fn_tt_tt_1,263.0,English,USA,PG,10000000.0,1997,7.3,1.85
The Mummy Returns,209163,Color,52,202.0,130,202007640.0,248045,5,"['ancient egypt', 'bracelet', 'king', 'scorpion', 'son']",http://www.imdb.com/title/tt0209163/?ref_=fn_tt_tt_1,890.0,English,USA,PG-13,98000000.0,2001,6.3,2.35
Gangs of New York,217505,Color,46,233.0,216,77679638.0,314033,3,"['butcher', 'civil war', 'gangster', 'new york city', 'revenge']",http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1,1166.0,English,USA,R,100000000.0,2002,7.5,2.35
The Flowers of War,1410063,Color,179,136.0,146,9213.0,38690,2,"['abusive stepfather', 'attempted rape', 'food shortage', 'sexual abuse', 'starving child']",http://www.imdb.com/title/tt1410063/?ref_=fn_tt_tt_1,130.0,Mandarin,China,R,94000000.0,2011,7.6,2.35
Surf's Up,423294,Color,180,154.0,85,58867694.0,54077,0,"['chicken', 'competition', 'island', 'penguin', 'surfing']",http://www.imdb.com/title/tt0423294/?ref_=fn_tt_tt_1,112.0,English,USA,PG,100000000.0,2007,6.8,1.85
The Stepford Wives,327162,Color,181,169.0,93,59475623.0,49739,1,"['community', 'connecticut', 'fem bot', 'tv producer', 'writer']",http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1,407.0,English,USA,PG-13,90000000.0,2004,5.2,1.85
Black Hawk Down,265086,Color,18,200.0,152,108638745.0,292022,0,"['army', 'helicopter', 'somali', 'somalia', 'warlord']",http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1,1103.0,English,USA,R,92000000.0,2001,7.7,2.35
The Campaign,1790886,Color,182,255.0,85,86897182.0,106790,0,"['campaigning', 'congressman', 'north carolina', 'title at the end', 'u.s. congressman']",http://www.imdb.com/title/tt1790886/?ref_=fn_tt_tt_1,177.0,English,USA,R,95000000.0,2012,6.2,1.85
The Fifth Element,119116,Color,183,173.0,126,63540020.0,343274,2,"['1910s', 'alien', 'artificially created woman', 'love', 'taxi driver']",http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1,742.0,English,France,PG-13,93000000.0,1997,7.7,2.35
Sex and the City 2,1261945,Color,184,221.0,146,95328937.0,59581,4,"['abu dhabi', 'box office hit', 'muslim', 'nanny', 'united arab emirates']",http://www.imdb.com/title/tt1261945/?ref_=fn_tt_tt_1,293.0,English,USA,R,100000000.0,2010,4.3,1.85
The Road to El Dorado,138749,Color,185,82.0,89,50802661.0,58300,1,"['adventurer', 'el dorado', 'gold', 'high priest', 'implied sex']",http://www.imdb.com/title/tt0138749/?ref_=fn_tt_tt_1,139.0,English,USA,PG,95000000.0,2000,6.9,1.85
Ice Age: Continental Drift,1667889,Color,177,233.0,88,161317423.0,145321,0,"['acorn', 'herd', 'iceberg', 'ocean', 'pirate']",http://www.imdb.com/title/tt1667889/?ref_=fn_tt_tt_1,139.0,English,USA,PG,95000000.0,2012,6.6,2.35
Finding Nemo,266543,Color,6,301.0,100,380838870.0,692482,0,"['great barrier reef', 'protective father', 'separation from family', 'shark', 'short term memory loss']",http://www.imdb.com/title/tt0266543/?ref_=fn_tt_tt_1,866.0,English,USA,G,94000000.0,2003,8.2,1.85
The Lord of the Rings: The Return of the King,167260,Color,16,328.0,192,377019252.0,1215718,2,"['battle', 'epic', 'king', 'orc', 'ring']",http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1,3189.0,English,USA,PG-13,94000000.0,2003,8.9,2.35
The Lord of the Rings: The Two Towers,167261,Color,16,294.0,172,340478898.0,1100446,1,"['epic', 'evil wizard', 'middle earth', 'ring', 'wizard']",http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1,2417.0,English,USA,PG-13,94000000.0,2002,8.7,2.35
Seventh Son,1121096,Color,186,175.0,102,17176900.0,54501,4,"['apprentice', 'demon', 'exorcism', 'master apprentice relationship', 'witch']",http://www.imdb.com/title/tt1121096/?ref_=fn_tt_tt_1,154.0,English,USA,PG-13,95000000.0,2014,5.5,2.35
Lara Croft: Tomb Raider,146316,Color,165,199.0,100,131144183.0,157016,1,"['illuminati', 'planetary alignment', 'time', 'tomb', 'tomb raider']",http://www.imdb.com/title/tt0146316/?ref_=fn_tt_tt_1,824.0,English,USA,PG-13,115000000.0,2001,5.7,2.35
Transcendence,2209764,Color,187,355.0,119,23014504.0,172707,1,"['artificial intelligence', 'consciousness', 'power outage', 'scientist', 'technology']",http://www.imdb.com/title/tt2209764/?ref_=fn_tt_tt_1,462.0,English,UK,PG-13,100000000.0,2014,6.3,2.35
Jurassic Park III,163025,Color,87,198.0,92,181166115.0,219501,0,"['dinosaur', 'island', 'jurassic park', 'paleontologist', 'search']",http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1,1236.0,English,USA,PG-13,93000000.0,2001,5.9,1.85
Rise of the Planet of the Apes,1318514,Color,188,529.0,105,176740650.0,403836,0,"[""alzheimer's disease"", 'ape', 'chimpanzee', 'fire', 'when animals attack']",http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1,646.0,English,USA,PG-13,93000000.0,2011,7.6,2.35
The Spiderwick Chronicles,416236,Color,189,198.0,107,71148699.0,68935,0,"['actor playing multiple roles', 'brownie the creature', 'closing credits sequence', 'family relationships', 'magical creature']",http://www.imdb.com/title/tt0416236/?ref_=fn_tt_tt_1,125.0,English,USA,PG,90000000.0,2008,6.6,2.35
A Good Day to Die Hard,1606378,Color,190,412.0,101,67344392.0,165618,2,"['bomb', 'cia', 'courthouse', 'escape', 'russian']",http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,503.0,English,USA,R,92000000.0,2013,5.3,1.85
The Incredibles,317705,Color,58,283.0,115,261437578.0,479166,0,"['hero', 'island', 'lawsuit', 'secret', 'superhero']",http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1,815.0,English,USA,PG,92000000.0,2004,8.0,2.35
Cutthroat Island,112760,Color,191,61.0,124,11000000.0,21102,3,"['latin', 'pirate', 'pirate ship', 'treasure', 'treasure map']",http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1,169.0,English,USA,PG-13,98000000.0,1995,5.6,2.35
Percy Jackson & the Olympians: The Lightning Thief,814255,Color,121,217.0,118,88761720.0,141179,0,"['greek', 'lightning', 'lightning bolt', 'poseidon', 'teenager']",http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1,419.0,English,UK,PG,95000000.0,2010,5.9,2.35
Men in Black,119654,Color,15,175.0,98,250147615.0,403014,0,"['alien', 'box office hit', 'flying saucer', 'laser gun', 'wisecrack humor']",http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1,289.0,English,USA,PG-13,90000000.0,1997,7.3,1.85
Toy Story 2,120363,Color,28,191.0,82,245823397.0,385871,2,"['collector', 'dog', 'friend', 'rescue', 'toy']",http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1,515.0,English,USA,G,90000000.0,1999,7.9,1.85
Unstoppable,477080,Color,158,316.0,98,81557479.0,149947,1,"['freight train', 'race against time', 'runaway train', 'train', 'train engineer']",http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1,326.0,English,USA,PG-13,100000000.0,2010,6.8,2.35
Rush Hour 2,266915,Color,25,127.0,90,226138454.0,160440,2,"['boat', 'gang', 'hong kong', 'triad', 'vacation']",http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,394.0,English,USA,PG-13,90000000.0,2001,6.6,2.35
What Lies Beneath,161081,Color,41,185.0,130,155370362.0,98403,0,"['ghost', 'haunted house', 'research', 'secret', 'vermont']",http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1,683.0,English,USA,PG-13,100000000.0,2000,6.6,2.35
Cloudy with a Chance of Meatballs,844471,Color,192,191.0,90,124870275.0,152601,1,"['food', 'giant food', 'mayor', 'sardine', 'weather']",http://www.imdb.com/title/tt0844471/?ref_=fn_tt_tt_1,156.0,English,USA,PG,100000000.0,2009,7.0,2.35
Ice Age: Dawn of the Dinosaurs,1080016,Color,124,188.0,94,196573705.0,166791,0,"['egg', 'lost world', 'rescue', 'squirrel', 'weasel']",http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1,132.0,English,USA,PG,90000000.0,2009,7.0,1.85
The Secret Life of Walter Mitty,359950,Color,193,362.0,114,58229120.0,236421,1,"['daydream', 'life magazine', 'magazine', 'photographer', 'snow leopard']",http://www.imdb.com/title/tt0359950/?ref_=fn_tt_tt_1,515.0,English,USA,PG,90000000.0,2013,7.3,2.35
Charlie's Angels,160127,Color,31,181.0,94,125305545.0,145350,0,"['booty shake', 'box office hit', 'duct tape over mouth', 'first part', 'martial arts']",http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1,643.0,English,USA,PG-13,92000000.0,2000,5.5,2.35
The Departed,407887,Color,46,352.0,151,132373442.0,873649,0,"['boston', 'mole', 'police', 'undercover', 'undercover cop']",http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,2054.0,English,USA,R,90000000.0,2006,8.5,2.35
Mulan,120762,Color,194,143.0,88,120618403.0,171792,0,"['based on poem', 'based on true story', 'china', 'one word title', 'the huns']",http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1,222.0,English,USA,G,90000000.0,1998,7.5,1.6600000000000001
Tropic Thunder,942385,Color,193,308.0,121,110416702.0,307539,3,"['film director', 'parody', 'spoof', 'vietnam', 'written and directed by cast member']",http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1,577.0,English,USA,R,92000000.0,2008,7.0,2.35
The Girl with the Dragon Tattoo,1568346,Color,64,517.0,158,102515793.0,330152,1,"['computer hacker', 'hacker', 'investigation', 'journalist', 'punk']",http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1,632.0,English,USA,R,90000000.0,2011,7.8,2.35
Die Hard with a Vengeance,112864,Color,126,148.0,128,100012500.0,299258,1,"['bomb', 'detective', 'new york city', 'police', 'terrorist']",http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1,346.0,English,USA,R,90000000.0,1995,7.6,2.35
Sherlock Holmes,988045,Color,125,415.0,128,209019489.0,477300,3,"['black magic', 'bridge construction', 'professor moriarty', 'scotland yard inspector', 'sherlock holmes']",http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1,621.0,English,USA,PG-13,90000000.0,2009,7.6,1.85
Atlantis: The Lost Empire,230011,Color,163,146.0,95,84037039.0,72591,0,"['atlantis', 'crew', 'expedition', 'journal', 'museum']",http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,289.0,English,USA,PG,120000000.0,2001,6.8,2.35
Alvin and the Chipmunks: The Road Chip,2974918,Color,195,70.0,92,85884815.0,9418,0,"['chipmunk', 'highway travel', 'on the road', 'plane', 'road movie']",http://www.imdb.com/title/tt2974918/?ref_=fn_tt_tt_1,53.0,English,USA,PG,90000000.0,2015,5.0,1.85
Valkyrie,985699,Color,11,269.0,121,83077470.0,183247,0,"['american actor playing foreigner', 'assassination', 'conspiracy', 'military', 'nazis']",http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,440.0,English,USA,PG-13,75000000.0,2008,7.1,1.85
You Don't Mess with the Zohan,960144,Color,196,198.0,113,100018837.0,156348,0,"['hair stylist', 'jew', 'landlord', 'muslim', 'palestinian']",http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1,380.0,English,USA,PG-13,90000000.0,2008,5.5,1.85
Pixels,2120120,Color,121,253.0,106,78747585.0,89770,0,"['alien', 'arcade game', 'chase', 'driving in reverse', 'video gamer']",http://www.imdb.com/title/tt2120120/?ref_=fn_tt_tt_1,342.0,English,USA,PG-13,88000000.0,2015,5.6,2.35
A.I. Artificial Intelligence,212720,Color,36,281.0,146,78616689.0,238747,0,"['affection', 'boy', 'fairy', 'future', 'robot']",http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,2153.0,English,USA,PG-13,100000000.0,2001,7.1,1.85
The Haunted Mansion,338094,Color,93,122.0,88,75817994.0,32049,0,"['arachnophobia', 'crystal ball', 'ghost', 'haunted house', 'thunderstorm']",http://www.imdb.com/title/tt0338094/?ref_=fn_tt_tt_1,179.0,English,USA,PG,90000000.0,2003,4.9,2.35
Contact,118884,Color,41,159.0,150,100853835.0,200556,2,"['message from outer space', 'religion', 'religion versus science', 'scientist', 'universe']",http://www.imdb.com/title/tt0118884/?ref_=fn_tt_tt_1,611.0,English,USA,PG,90000000.0,1997,7.4,2.35
Hollow Man,164052,Color,170,180.0,119,73209340.0,101834,0,"['experiment', 'research', 'scientist', 'suburb', 'surrealism']",http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1,628.0,English,USA,R,95000000.0,2000,5.7,1.85
The Interpreter,373926,Color,197,227.0,128,72515360.0,86152,1,"['african', 'assassination', 'dialect', 'interpreter', 'threat']",http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1,411.0,Aboriginal,UK,PG-13,80000000.0,2005,6.4,2.35
Percy Jackson: Sea of Monsters,1854564,Color,198,183.0,106,68558662.0,86627,0,"['golden fleece', 'half brother', 'magical tree', 'sea', 'tree']",http://www.imdb.com/title/tt1854564/?ref_=fn_tt_tt_1,204.0,English,USA,PG,90000000.0,2013,5.9,2.35
Lara Croft Tomb Raider: The Cradle of Life,325703,Color,150,157.0,117,65653758.0,102747,1,"['duology', 'female hero', 'female lead', 'orb', ""pandora's box""]",http://www.imdb.com/title/tt0325703/?ref_=fn_tt_tt_1,316.0,English,USA,PG-13,95000000.0,2003,5.5,2.35
Now You See Me 2,3110958,Color,102,196.0,129,64685359.0,40862,6,"['card trick', 'london england', 'magician', 'rain machine', 'rooftop']",http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1,139.0,English,USA,PG-13,90000000.0,2016,6.9,2.35
The Saint,120053,Color,114,64.0,116,61355436.0,52136,0,"['cold fusion', 'disguise', 'energy', 'fusion', 'the saint']",http://www.imdb.com/title/tt0120053/?ref_=fn_tt_tt_1,184.0,English,USA,PG-13,68000000.0,1997,6.2,2.35
Spy Game,266987,Color,158,142.0,114,26871.0,121259,2,"['china', 'cia', 'cold war', 'friendship', 'retirement']",http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1,361.0,English,Germany,R,92000000.0,2001,7.0,2.35
Mission to Mars,183523,Color,199,181.0,114,60874615.0,60467,0,"['astronaut', 'mars', 'mars the planet', 'outer space', 'zero gravity']",http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1,949.0,English,USA,PG,90000000.0,2000,5.6,2.35
Rio,1436562,Color,124,240.0,96,143618384.0,165333,0,"['bird', 'brazilian', 'cockatoo', 'macaw', 'minnesota']",http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1,186.0,English,USA,G,90000000.0,2011,7.0,2.35
Bicentennial Man,182789,Color,121,93.0,132,58220776.0,87785,0,"['23rd century', 'android', 'artificial intelligence', 'dual role', 'robot']",http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,362.0,English,USA,PG,100000000.0,1999,6.8,1.85
Volcano,120461,Color,200,84.0,104,47474112.0,58227,0,"['earthquake', 'fire', 'lava', 'rescue', 'volcano']",http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1,181.0,English,USA,PG-13,90000000.0,1997,5.4,1.85
The Devil's Own,118972,Color,201,66.0,111,42877165.0,45602,0,"['friendship', 'murder', 'northern ireland', 'police officer', 'terrorist']",http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1,114.0,English,USA,R,86000000.0,1997,6.1,2.35
K-19: The Widowmaker,267626,Color,202,136.0,138,35168677.0,49311,1,"['courage', 'radiation sickness', 'radioactive contamination', 'sea', 'test launch']",http://www.imdb.com/title/tt0267626/?ref_=fn_tt_tt_1,278.0,English,UK,PG-13,100000000.0,2002,6.7,2.35
Fantastic Four,1502712,Color,203,369.0,100,56114221.0,110486,3,"['box office flop', 'critically bashed', 'portal', 'teleportation', 'troubled production']",http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1,695.0,English,USA,PG-13,120000000.0,2015,4.3,2.35
Cinderella Man,352248,Color,81,201.0,144,61644321.0,148238,0,"['boxer', 'boxing', 'dream', 'great depression', 'love']",http://www.imdb.com/title/tt0352248/?ref_=fn_tt_tt_1,529.0,English,USA,PG-13,88000000.0,2005,8.0,2.35
The Nutcracker in 3D,1041804,Color,204,47.0,110,190562.0,2508,0,"['box office flop', 'christmas', 'christmas eve', 'critically bashed', 'toy comes to life']",http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1,24.0,English,UK,PG,90000000.0,2010,4.4,2.35
Seabiscuit,329575, Black and White,205,175.0,140,120147445.0,57661,0,"['horse', 'horse racing', 'jockey', 'limp', 'seabiscuit']",http://www.imdb.com/title/tt0329575/?ref_=fn_tt_tt_1,455.0,English,USA,PG-13,87000000.0,2003,7.3,2.35
Twister,117998,Color,150,114.0,113,241688385.0,144053,0,"['device', 'disaster', 'divorce', 'storm', 'tornado']",http://www.imdb.com/title/tt0117998/?ref_=fn_tt_tt_1,395.0,English,USA,PG-13,92000000.0,1996,6.3,2.35
Cast Away,162222,Color,41,221.0,143,233630478.0,394317,1,"['christmas', 'island', 'love', 'survival', 'talking to inanimate object']",http://www.imdb.com/title/tt0162222/?ref_=fn_tt_tt_1,1051.0,English,USA,PG-13,90000000.0,2000,7.7,1.85
Happy Feet,366548,Color,80,206.0,108,197992827.0,132501,0,"['dance', 'emperor penguin', 'friend', 'penguin', 'song']",http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1,548.0,English,USA,PG,100000000.0,2006,6.5,2.35
The Bourne Supremacy,372183,Color,110,239.0,108,176049130.0,348232,1,"['assassin', 'car chase', 'cia', 'hidden truth', 'one against many']",http://www.imdb.com/title/tt0372183/?ref_=fn_tt_tt_1,806.0,English,USA,PG-13,75000000.0,2004,7.8,2.35
Air Force One,118571,Color,68,142.0,124,172620724.0,146134,1,"['ex soldier', 'hijacker', 'hostage', 'president', 'terrorist']",http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1,393.0,English,USA,R,85000000.0,1997,6.4,2.35
Ocean's Eleven,240772,Color,145,186.0,116,183405771.0,402645,4,"['card dealer', 'casino', 'criminal mastermind', 'recruiting', 'ulcer']",http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1,845.0,English,USA,PG-13,85000000.0,2001,7.8,2.35
The Three Musketeers,1509767,Color,206,228.0,110,20315324.0,88542,8,"['box office flop', 'cardinal richelieu', 'critically bashed', 'duel', 'musketeer']",http://www.imdb.com/title/tt1509767/?ref_=fn_tt_tt_1,254.0,English,Germany,PG-13,75000000.0,2011,5.8,2.35
Hotel Transylvania,837562,Color,207,256.0,91,148313048.0,164148,2,"['dracula', 'hotel', 'invisible man', 'monster', 'transylvania']",http://www.imdb.com/title/tt0837562/?ref_=fn_tt_tt_1,168.0,English,USA,PG,85000000.0,2012,7.1,1.85
Enchanted,461770,Color,208,222.0,107,127706877.0,142496,2,"['fairy tale', 'lawyer', 'love', 'new york', 'prince']",http://www.imdb.com/title/tt0461770/?ref_=fn_tt_tt_1,399.0,English,USA,PG,85000000.0,2007,7.1,2.35
Hannibal,2243973,Color,107,103.0,44,0.0,159910,1,"['blood', 'cannibalism', 'fbi', 'manipulation', 'psychiatrist']",http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1,270.0,English,USA,TV-14,0.0,0,8.6,1.78
Safe House,1599348,Color,209,298.0,115,126149655.0,166693,1,"['cia', 'cia agent', 'consulate', 'on the run', 'safe house']",http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,276.0,English,USA,R,85000000.0,2012,6.8,2.35
102 Dalmatians,211181,Color,208,84.0,100,66941559.0,26413,1,"['dog', 'parole', 'parole officer', 'prison', 'puppy']",http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,77.0,English,USA,G,85000000.0,2000,4.8,1.85
Tower Heist,471042,Color,25,236.0,104,78009155.0,110073,5,"['apartment', 'fbi', 'fraud', 'heist', 'manager']",http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1,194.0,English,USA,PG-13,75000000.0,2011,6.2,2.35
The Holiday,457939,Color,210,157.0,138,63224849.0,182757,3,"['book', 'composer', 'house', 'love', 'self esteem']",http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,483.0,English,USA,PG-13,85000000.0,2006,6.9,1.85
Enemy of the State,120660,Color,158,81.0,140,111544445.0,188116,4,"['congressman', 'lawyer', 'nsa', 'on the run', 'surveillance']",http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,415.0,English,USA,R,90000000.0,1998,7.3,2.35
It's Complicated,1230414,Color,210,187.0,120,112703470.0,69860,2,"['affair', 'divorce', 'graduation', 'vomiting', 'watching television']",http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1,214.0,English,USA,R,85000000.0,2009,6.6,1.85
Ocean's Thirteen,496806,Color,145,238.0,122,117144465.0,256928,3,"['casino', 'heist', 'manmade earthquake', 'revenge', 'tunnel boring machine']",http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1,288.0,English,USA,PG-13,85000000.0,2007,6.9,2.35
Open Season,400717,Color,211,107.0,83,84303558.0,65270,1,"['bear', 'deer', 'forest', 'grizzly bear', 'hunter']",http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,100.0,English,USA,PG,85000000.0,2006,6.2,1.85
Divergent,1840309,Color,212,459.0,139,150832203.0,341058,2,"['army', 'brother sister relationship', 'dystopia', 'father son relationship', 'narrated by character']",http://www.imdb.com/title/tt1840309/?ref_=fn_tt_tt_1,713.0,English,USA,PG-13,85000000.0,2014,6.7,2.35
Enemy at the Gates,215750,Color,213,187.0,131,51396781.0,188887,1,"['battle', 'german', 'russian', 'sniper', 'stalingrad']",http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,662.0,English,USA,R,68000000.0,2001,7.6,2.35
